deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
115,2024-06-19 01:05:12,ARBUSDT,5m,short,2.49,0.7886,0.7499,0.8033,4.91,1.86,0.7872,0.8051,0.18,2.09,0.8039,-1.94,loss,2024-06-19 04:04:05,RSI:55;
116,2024-06-19 01:05:57,GALAUSDT,5m,short,2.45,0.02691,0.02572,0.02737,4.42,1.69,0.02668,0.02738,0.85,1.75,0.02735,-1.64,loss,2024-06-19 04:02:07,RSI:52;
117,2024-06-19 03:11:07,EDUUSDT,5m,short,3.09,0.5811,0.5543,0.5892,4.61,1.39,0.5726,0.5894,1.46,1.43,0.5888,-1.33,loss,2024-06-19 03:57:05,
118,2024-06-19 12:55:48,MASKUSDT,5m,long,1.02,2.496,2.523,2.474,1.07,0.89,2.524,2.48,1.12,0.64,2.524,1.12,win,2024-06-19 16:21:22,RSI:48;
119,2024-06-19 13:45:31,OPUSDT,5m,long,4.47,1.904,2.087,1.865,9.6,2.05,1.925,1.861,1.1,2.26,1.862,-2.21,loss,2024-06-19 17:33:05,
120,2024-06-19 16:50:42,DYDXUSDT,5m,short,3.38,1.436,1.387,1.449,3.41,0.91,1.409,1.451,1.88,1.04,1.451,-1.04,loss,2024-06-19 20:14:03,RSI:51;
121,2024-06-19 18:15:50,NEARUSDT,5m,long,2.65,4.966,5.132,4.909,3.34,1.15,4.972,4.907,0.12,1.19,4.909,-1.15,loss,2024-06-19 18:38:05,RSI:49;
122,2024-06-19 21:01:14,EDUUSDT,5m,short,1.14,0.6013,0.5947,0.6062,1.11,0.82,0.5967,0.6064,0.77,0.85,0.6064,-0.85,loss,2024-06-20 00:16:13,
123,2024-06-20 11:05:21,DOTUSDT,5m,short,1.37,5.918,5.835,5.97,1.4,0.88,5.86,5.971,0.98,0.9,5.964,-0.78,loss,2024-06-20 14:19:03,RSI:51;
124,2024-06-21 05:35:34,MATICUSDT,5m,short,1.03,0.5765,0.5703,0.5816,1.07,0.88,0.5702,0.581,1.09,0.78,0.5706,1.02,win,2024-06-21 11:56:17,RSI:52;
125,2024-06-21 05:36:04,SUIUSDT,5m,short,2.25,0.8974,0.865,0.9108,3.61,1.49,0.8948,0.9112,0.29,1.54,0.9104,-1.45,loss,2024-06-21 07:22:04,
126,2024-06-21 13:56:02,SUIUSDT,5m,short,2.96,0.8949,0.8628,0.9048,3.59,1.1,0.8926,0.9062,0.26,1.26,0.9041,-1.03,loss,2024-06-21 14:52:04,RSI:51;
127,2024-06-21 18:20:39,MAGICUSDT,5m,short,1.09,0.6048,0.5949,0.613,1.64,1.35,0.5947,0.6061,1.67,0.21,0.5949,1.64,win,2024-06-21 20:24:05,
128,2024-06-21 18:20:56,GALAUSDT,5m,short,1.64,0.02861,0.02746,0.02927,4.01,2.32,0.02745,0.02871,4.05,0.35,0.0275,3.88,win,2024-06-21 20:36:13,RSI:53;
129,2024-06-21 18:25:23,DOTUSDT,5m,short,2.47,5.68,5.526,5.736,2.71,0.98,5.541,5.74,2.45,1.06,5.736,-0.99,loss,2024-06-22 13:19:03,RSI:52;
130,2024-06-21 19:10:38,AVAXUSDT,5m,long,1.06,27.51,27.818,27.263,1.12,0.9,27.53,27.26,0.07,0.91,27.28,-0.84,loss,2024-06-21 19:57:02,
131,2024-06-21 22:30:20,ADAUSDT,5m,short,1.25,0.3777,0.3718,0.3819,1.56,1.1,0.3717,0.3814,1.59,0.98,0.3719,1.54,win,2024-06-22 03:41:12,RSI:51;
